,albummid,albumname
0,003V1Vao3OS3sb,余生，请多指教 (2020星光大赏Live版)
1,002iScmt2I0LsP,最幸运的幸运 (2020星光大赏Live版)
3,002Tryw33HIGNP,陈情令 国风音乐专辑
4,004OLQfC3d8bqt,诛仙I 电影原声带
5,0049shen4F74vJ,两只老虎 电影原声大碟
6,0010iIqa23eKT3,沧海一声笑 · 国韵版
7,000tvOOc33qTms,光点
8,002C6Jgk3uXH5o,满足
9,001FUHas3mEGTk,余年
10,003xqkoE1K8kQU,青春为祖国歌唱 第二辑 原创篇
11,002S9jO42HiqOT,《青春为祖国歌唱》第一辑经典篇
12,0039KOLv1XDBhD,岁岁平安
13,003Nxy5Y46uDGB,燃烧吧少年 第1期
14,000sW62E1QWXL0,经典咏流传第三季 第1期
16,002H39nV1aax74,2020年北京台春节联欢晚会
17,0012X58Q2Z36bq,我们的歌 贺岁金曲歌会 下
18,0004yrvx0xn8Rr,我们的歌 贺岁金曲歌会 上
19,000QWsiG2QBlZd,中国梦之声·我们的歌 第12期
20,001RYJyV2K2pLE,中国梦之声·我们的歌 第11期
21,0007gpsF22yWyI,中国梦之声·我们的歌 第10期
22,000ApdyM2GsTFn,中国梦之声·我们的歌 第9期
23,001l7Wff4Tc47O,中国梦之声·我们的歌 第8期
24,002ayrWq21SEUK,中国梦之声·我们的歌 第6期
25,001itDE443oApz,中国梦之声·我们的歌 第4期
26,000tpgUH4Z4BzN,中国梦之声·我们的歌 第3期
27,001ZaCQY2OxVMg,歌曲合辑
28,001B9RHa0pfT3e,梦圆东方·2020跨年盛典
29,00495lwX34EJPp,燃烧吧少年 第7期
30,003XAEXG4DFAU2,燃烧吧少年 第9期
31,002FOyuO2rUNlm,燃烧吧少年 第2期
32,0030TpSu0gTkoP,燃烧吧少年 第3期
33,003CrAO94GvhAD,燃烧吧少年 第11期
34,0024VTow2CykOh,燃烧吧少年 第10期
35,000ydkA20U172K,《为你读诗》
36,002ymzY64D3pwK,2020年中央电视台春节联欢晚会
37,003jijWM3zGfZz,《榜样阅读》第一季
38,003dgros01JD7M,坚信爱会赢
39,0009NbmJ1egERM,《Keep Online》 NO版
40,003TPjHf1tnZDG,Mine (Illenium Remix)
41,001qq33a4bVa6l,Waiting For Love
42,000prHhU3BnrO1,The Days / Nights (Remixes / EP)
43,003cvqu705hrsn,Be Kind
44,002fNaQT07R61K,Nevada
45,002Nt51E0q8Zoo,Faded
46,0002EhPF0GBc1A,Happier
47,001fyOld32C1nv,Something Just Like This
48,004Vf4sY3vLNvW,Waiting
49,001lC38H332e2W,Wolves
50,0045ZDvW1dsUz1,Walk Thru Fire
51,002qs8VK2GVsH8,End of Time
52,004GP50u4Oimd0,Waves
53,002SA0Fv0tcIA0,The Ocean (Radio Edit)
54,002Cz7ER162zZp,Feel
55,001A1NLq0MpHk7,Younger
56,001Pquv93KJu7p,Beautiful Now
57,003H8aor1yG0QC,Sick Boy
58,003wlymv4ZhZXQ,United We Are
59,004FNqNM0pQ3go,End Of The Night (Explicit)
60,0014v4LP2O21ah,Telescope
61,002jyltC3IW8AZ,The Middle
62,000taPGl1KsCy6,This Is What You Came For
63,002h4gdl0kV23z,Space (feat. Carly Paige)
64,003s6ByF0rl7OL,Fast Car (Radio Edit)
65,003emYQU4ON3ch,Hands
66,004X3A060M9Oak,New
67,003nxgSd1q4Thq,Here With You
68,001jrVHd1gP5Sr,Daydreamer
69,0009gv6N4WYk6s,Polaroid
70,004d5T1s3sLMkL,All On Me
71,000HrgC91urnWq,Limitless (feat. Sophie Rose) (Remixes)
72,004TXzPK104NtY,Deep End
73,0038pvFM2Bu0Ta,Ocean
74,003sIXeH2IRBDT,Dive with Me
75,003rbeXu2Ef6Dd,Sad Sometimes
76,0049pIMN4IwlIa,Kids in Love
77,002oAS9c4VHAsO,Middle of Nowhere
78,001Mp44Y3DOX9f,Summer Feels
79,003vos0c3Ft5eR,Never Been Better
80,003kXnKx3soKko,Pushed Down
81,000tw3IL26fYzA,Crazy
82,004RWfIo0jtFb6,Phone Down (Explicit)
83,003NcPjB27TzXE,Fucked It Up(Remixed)
84,0036TWrj2kpfcf,easy
85,001ryUcY472IIm,remix
86,000D6oYs1m23dF,The One
87,0010OGwD4RFN5d,MAYDAY
88,001d78F129dFLV,Fix You
89,004BCUwt376Y6M,Life
90,0032Aea236GEac,Somebody Will
91,002zBA7m4YLGWZ,Sway
92,004fuaT34IGT0b,Play
93,002oqP0g2rrVfQ,Summer Vibe (Pegato Remix)
94,001LxaPn0IrSdO,Where We Are
95,001e8y1W4Phg3a,Fall
96,001pqwgw3RPpL8,Drink About
97,00089FFe26esN1,Don't Call
98,004gQKbJ4OeYwm,Leavin
99,002ULGZp2Twowd,Remember
100,001GjVad2vT6hv,Survive
101,003sRghs11ZCMk,Monstercat Uncaged Vol. 2
102,000UDKGg0YNzPG,Light (feat. Dianna)
103,000FIzXu0Uf66V,Music Mix 2018
104,002x2LAk1tSkHt,Back To Me
105,000EsWZn1poSip,Electric Soul
106,003q2hEl0aBxTV,Forever
107,001nrngn1yGtFz,Love Me Back
108,002KBlWY3G63hO,Beautiful
109,002FlXR52ybnpY,Rise
110,003eCvUI1tVMj8,Criminals
111,0017zmj90VB0HI,Fall to Light
112,000CO4Vc3zXEtE,We'll Meet Again
113,001EXaOY2N8Pfg,Cup Of Beats
114,002FamlA1vA69p,Seve
115,001kxYQW0yIa2p,You Need To Calm Down (Clean Bandit Remix)
116,002RdHpr3fSEqt,Funny
117,000o1gpH0L1xLf,Meant To Be
118,0026wzpy12ig5O,Faustix
119,004WLmjg32gmET,Light
120,002RdqAy0tItPo,Rich Love
121,004E5Y210iYA4j,Work (Remixes)
122,001wDnUR1vrgVv,Sun Goes Down
123,000sMVKB1cNO7V,Happy Now
124,000QI20K4Sr44m,Ultra 2017
125,002NRql62qowhb,I Will Be OK (Flyboy Remix)
126,0019sZae0GE2tO,Not Today
127,001OfzMG3HjUh4,Away
128,004WjKO52g6qR4,Lullaby
129,004Lg8AW3Q1GQ3,Touch The Sky
130,001aNwTX1u4M9i,Keep My Light On (Extended Version)
131,003wL7JB2NzkZu,Both of Us(Remixes)
132,0004NdQt0kfbkY,We Could Go Back
133,003IMwqM2UuxzP,Into You
134,000U0Bx3092bWk,Smooth Operator
135,00283S5J4ezH1K,Space
136,003dIYwr2VdUOb,Dreams
137,0047y89w1VBnpe,Nobody Compares To You
138,002RVwYI30lEpH,Like It Is
139,002XyrzF1Chtbv,Are You Lonely
140,002fhGpB4OhdT1,Tokyo
141,001AM4Ee0Gnowe,Stuck(Explicit)
142,002Lt9p14SxKd5,Together
143,004e72oY2kHk2A,GY
144,000PunFS0YKvcq,Let Us Love
145,001fsNMw4DGFPX,Tropic Love
146,002FfoXI13iZHc,Come & Go (Explicit)
147,0036LBxC1SpgXO,OK (The Remixes)
148,000riEYQ33n4Z6,Locked Away (Maddie Wilson & Madilyn Paige) [OutaMatic Remix]
149,002SoSOR2vyszG,Heading Home
150,002oooKg05e3Ln,I Heart U
151,001lcR0Y1e77QI,Easy for You
152,000xeOm30hTxur,Where Have You Gone (Anywhere)
153,000sEV4Q3f6PXM,Do Or Die
154,0045dhIN3FmjzB,The River
155,003jhRnD2PAd7L,Fireflies
156,002uKL834b9faN,III
157,001TQvmy3W0v3P,Horizon
158,001FaTrc4bxEZX,Look4You
159,000JGoav20EU3G,Just For A Moment
160,002SiTqL3mq4VO,The Bearded Man - Beards In The Club (Amsterdam 2016)
161,000l36nC0nAivJ,Born To Lose
162,0012UOg144QVzB,365
163,000iAWqL1EL00R,Think About You
164,000aWt4j0Rrfl8,Summer on You
165,0049de8x3025G8,Different World
166,0001ymYV36cfPh,KISS Kesähitti
167,001hoo1N16S12k,Under Your Skin
168,0013RmXl3gozAP,If It Weren't For Love
169,003pugea1JhX3n,Trip
170,000a69Xm1EnP5m,Didn't Feel A Thing
171,0035bDkO4dZGqM,Cutting Shapes
172,0005lFS50Ui6pt,Changing
173,002clpFv2sdqyI,Painting With Dreams
174,002oJay04ItOfK,Monody
175,003hPwsG1UcgGs,Get Low
176,002pxOMK49Obam,Belong
177,001LPwdh075ZZ5,Summer Days (Explicit)
178,0001rIbU4fHubf,Creep
179,000oLYpy3OicHT,Anchor (Mich Remix)
180,000UmX2D45749W,Slide
181,003Es12k0P2P7r,Where the Water Ends
182,004gDJvE1kIwlq,Sign
183,002rBhZy3Ld8uT,Hold On (feat. Michel Zitron)
184,000pre0F3JoqxU,Mistakes (Explicit)
185,002syXys1oe2az,Here for You
186,003ooKUB0NwmyX,In My Blood
187,0030LrGO3YPiAs,Easy Come
188,003CjL0n0K3qdv,Fantasy
189,003KjvBt0ivmok,You (Evan Berg Remix)
190,004W8UPe0yJx5x,The Architect (Zeitgeist Edition)
191,001LyyOB1OsTm5,No Money
