,createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
0,2017-02-07,25561202,小Q,0,1452052493,100首精选粤语歌  怀念旧时光,78614073
1,2020-09-06,2350439365,Blink-Swiftie ,0,7706788408,王牌女团 | 用实力征服你的耳朵,3330704
2,2020-09-30,2667533186,正在加载中…,0,7727383695,超甜Rap｜♥︎给喜欢的人听♥︎,117340
3,2020-09-10,910801164,偏见.,0,7710032695,宝藏歌曲 | 星辰闪烁 云朵温柔,6500595
4,2020-11-30,1205237411,圣地亚哥老蝙蝠,0,7798823985,初代到泽塔经典BGM和主题曲,123442
5,2016-11-24,931905769,陈哲,2,3540484302,学霸必备：专心写作业 享受轻音乐好时光,53839555
6,2020-04-08,3181838466,沐,0,2683955247,开车听一听 交警后面追,1364832
7,2018-01-16,1505754053,E.L.M.雷神,0,3658457678,90有你：听不完的那些回忆,33608712
8,2020-03-30,2235414701,张卿允,2,7499337095,任然：把思念装进漂流瓶,22871762
9,2020-10-02,823909086, ,0,7733073935,古风｜举杯独醉茫然又一年岁,1444106
10,2020-07-16,452775188,还不是因为你长得不好看,2,7639593815,华语珍藏：90后KTV必点曲目,4710842
11,2020-11-13,1959401541,Spinnin,0,7779294041,［电音＋耳机］电子竞技的神器,37706
12,2020-08-16,963737492,依々晴,0,7657332746,古风戏腔 | 兰花指捻红尘似水,13205833
13,2017-04-03,348361207,风少,2,2919117025,懒懒散散的爵士，自由散漫的蓝调,627192
14,2020-04-20,1054837037,书不尽清风,0,7530172964,古风 • 我在等风，也等你,3015821
15,2020-06-25,3261609492,为安不够好.,0,7613171044,慢调rap | 孤独到了极致便是享受,1361475
16,2020-06-08,2437571909,,0,7572797161,正义的化身 · 奥特曼申请出战！,414718
17,2020-08-06,1152921505008899648,不问归期·,0,7666951595,戏腔古风 | 一曲离殇 戏子多愁,1427129
18,2020-07-30,2788132285,銀河不落星系,0,3748979450,K-POP｜韩流时代即将到来,2443052
19,2020-11-01,2188766429,是可妮a.,0,7767362229,国语 | 人间美好，日落和你,2880828
20,2020-09-01,354284502,此号被盗,0,7690031361,EA7车载 | 飙车党的速度与激情,243534
21,2020-12-01,3423662166,星航T,0,7800210639,奥特曼系列ol：汇聚银河之光,72013
22,2020-09-16,1924797443,晚乔,0,7591760875,情感│雨好大啊！我们都回不去了,26551584
23,2019-12-24,1127914446,青梦,0,7261817420,『b站阿婆主』宝藏神曲无限循环,9539992
24,2017-09-29,1812948313,私に闻いて风i,2,1781021825,每科都考99分！学霸专用的唯美の纯音,57160460
25,2020-05-04,2374133080,LANNÉ,0,7547485149,韩语 | 韩国各大厂牌顶尖作品,10029132
26,2020-03-23,864758248,一封情书给自己,0,7487200397,极致踩点丨B站高燃混剪收录单,5866064
27,2020-07-04,1556178653,八幡,0,7608075165,『电竞』带上耳机，个个都是传奇,11925092
28,2020-12-08,3072237667,欧皇来了,0,7808176854,NME评：2020年最优秀的50首歌,293560
29,2020-10-06,1443329766,Arminius.,0,7739955818,蓝心羽｜如玫瑰般优雅高贵的嗓音,338145
30,2020-08-02,1309974854,　,0,7322622901,欧美女声 | 开口惊艳 入耳沦陷,10706468
31,2020-05-23,2040793374,璃想呐,0,2075995542,忽然想起我们还没有好好道别,8979090
32,2020-08-11,1350916312,仙儿,0,7673938741,国语 | 女孩子嘛就要听甜甜的歌,4971934
33,2020-09-09,1152921504681001855,必胜🤟,0,7708875728,时光留声机：90后都在慢慢老去,857683
34,2020-09-29,929284,温柔的神明,0,7731188543,【游戏专属】闪开我要拿五杀,1192054
35,2020-04-06,1022543731,热文案,2,7510686711,夜独 · 四下无人时我也会崩溃,14084975
36,2020-10-24,2042202855,凌晨三点半,0,7758895754,热歌集丨落日余晖，待你而归♡,5945377
37,2020-07-01,1522729603,卋罖,0,7049802192,睡前音乐｜那些温柔翻唱的歌曲,2817331
38,2017-12-07,478695379,DJ顾念晨,3,3584864556,刺激不！老板上班都要偷偷听的百首热歌,17907456
39,2020-06-04,1928949981,七喜,0,1136199129,[超然节奏] 无音乐、不游戏！,1853902
40,2020-11-15,3111491292,沐雨,0,7705310639,上单必备BGM:我于绝境逆风而生！,206023
41,2019-06-25,2827745225,智能算法大师,2,7060352909,社会摇 | 摇头晃脑，我是王者,2677424
42,2020-03-23,2660746954,乔冷,0,7485788455,粤语丨忘掉烦恼往事皆随风,6535797
43,2019-05-06,977423823,幼杀大队长.,0,1551071404,流行 | 近年来火爆全网的歌曲,91591062
44,2017-08-10,3498192741,画船听雨眠～,2,1169458772,「欧美清新小调」吹进耳朵里的清风,4264387
45,2020-12-09,2979842415,桃Tao音乐志,2,7808532987,Billboard编辑评出今年50大单曲,74429
46,2020-07-16,1826760032,Moriiecho,0,7640194255,霉粉收藏！霉霉顶流播放songs！,771030
47,2020-03-13,1498030674,星野一,2,7471755205,助眠纯音 · 香甜梦境催化剂,825649
48,2020-08-15,312590452,石上优いしがみ ゆう,0,7679032670,疯狂踩点 l 嚣张步伐的练成方式,578248
49,2020-09-23,1522531377,PC12138,0,7713973940,赌一包辣条，95后肯定听过这些歌,1162471
50,2020-12-09,467638189,蜜糖男孩,2,7808373086,Pitchfork｜2020最佳专辑Top 50,40350
51,2020-11-01,3427724427,北川同学,0,7767162979,催泪100% | 试图截图留住一切,4199549
52,2020-11-27,1152921505046073227,菗の卜昰烟,0,7794926900,当年“血洗”qq空间的背景音乐,76324
53,2017-08-10,3050361411,古耐moon,2,1169467842,「古装影视曲」勾起你的怀旧情愫,8067840
54,2020-04-22,1498030674,星野一,2,7532670538,一单打尽！Q音热搜榜歌曲持更集,40300960
55,2020-06-29,1152921504907337425,无限电LMH🌈,0,7283856320,沙雕丨那些搞笑视频里的bgm合集,420548
56,2020-08-12,1152921504949336113,☁️火星预报员☁️,0,7651874828,温柔片段：我在人间贩卖日落。,1299227
57,2020-11-03,1242012453,自渡·,0,7769012058,小阿枫 | 翻唱也不失歌曲精髓,5549686
58,2020-10-07,814291832,念惜,0,7741493723,古风｜红尘千丈，诉不尽繁花似锦,1517885
59,2020-04-20,749914525,Randolph,0,7478371305,超燃纯音 | 史诗级Battle,537462
60,2018-10-08,1220667525,安多,2,5217738880,《天官赐福》同人：明灯三千为一人,8713441
61,2019-08-23,2103461797,随꙰你꙰所꙰喜꙰°,2,7136488611,「甜系情歌」融化你的少女心,7603171
62,2020-04-10,1371887665,楠羽.,0,7516321215,钢琴与流行乐的唯美邂逅『持更』,17283931
63,2020-09-09,1152921504681001855,必胜🤟,0,7709787690,90后怀旧|那些年我们曾唱过的歌,8217266
64,2017-01-16,120167780,xxxx.,0,850489245,易烊千玺单曲,9117657
65,2020-10-01,746503843,♪森❀森♪,0,7691851600,【宝藏男音】 捕获你的小心脏 ♡,1453167
66,2020-03-24,951337808,Future,0,7488993038,专注力百分百学习歌单 | 纯音乐版,3266309
67,2020-03-03,3138960748,Lemon.,0,7454774035,Trap rap : 慵懒气泡男嗓,2646998
