createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2019-11-26,757633910,小飞侠.DAYTOY,0,885993631,肖战的歌 我们的歌,5415859
2020-03-08,1152921504819784901,Happy.,0,6949707670,下班来劲 | 来首电子，抛开烦恼,7608020
2019-05-24,3163854005,韩达达,2,7004110454,韩剧OST女王的催泪神作,1987444
2020-05-24,2374133080,LANNÉ,0,7564229425,小众兼宝藏·冷门又不失格调,1200120
2020-09-27,1847569460,.落差,0,7658655210,你那么温柔，一定很孤单吧,1769620
2020-08-24,2587278206,喵喵君仙998.47亿 次播放,0,7690002111,古风女声控，优美旋律为你而来,1050047
2020-05-16,2779228986,瞎子,0,7229893667,我是怪人听歌也会哭,385805
2020-06-03,467638189,蜜糖男孩,2,7587920319,Tizzy T：快签收你的饶舌男孩,4127189
2020-09-10,1714547601,鹿桉.,0,7711339742,丧感片段｜还没开始就结束了曆,2202103
2019-09-20,3512595187,科兴跳舞机,2,7212954390,车载慢摇，震得你热情像发了疯,2928115
2020-09-12,3427724427,北川同学,0,7708477791,优质片段 | 将所有温柔集于一身,1300326
2019-12-17,2297095896,景随风,7,7342928643,老歌旋律在耳旁，回不去的旧时光,54240187
2020-03-02,1968987427,故事未完待续,2,7382629476,精选 | 好听到单曲循环的热歌,905750806
2018-10-08,1220667525,安多,2,5217738880,《天官赐福》同人：明灯三千为一人,8723188
2020-10-31,3063745183,歌单达人,0,7765118504,圣诞节丨祝你节日快乐，万事遂愿,3833550
2016-11-03,1258496502,青蛙王子泡泡糖。,0,1437721458,让人情不自禁的英文歌,64296713
2019-09-04,1808739114,AmroJie,0,7123372894,欧美:珍藏佳作 唤醒沉睡的耳朵,23196634
2020-08-16,2836337885,ㅤ,0,7673177442, 失落歌单｜她说过不会骗我 ,13205350
2020-10-03,1026917890,静若💞安然,0,7735682764,站内热评: 上头热歌 循环首选,3797022
2020-08-16,1152921505040905258,hiby,0,7678657343,国风 | 素手抚琴，为你弹一曲,2845452
2020-09-12,2452164904,糯米团,0,7712802404,治愈男音:挑战不心动男声,5618099
2020-06-04,1928949981,七喜,0,1136199129,[超然节奏] 无音乐、不游戏！,2157764
2018-01-18,1209430845,DesTiny,2,2356366127,睡个好觉！百首安静纯音助你入眠,9356944
2020-03-27,1376635539,九命相柳,0,7461790879,1000首欧美：满足欲求不满的耳朵,9803835
2017-12-15,1367363703,就是爱音乐,2,1788824062,粤语情怀 | 唱入心扉的动听女声,593463
2017-01-17,431971379,两处相思同淋雪，,2,3517857779,500首轻音收集 ：学渣听了也想考北大,41474159
2020-05-21,2174875328,Kobayashi,2,7567404842,200首校园歌曲：回忆学生的时代,20117141
2020-09-27,3267437170,南岸公园,0,7715821645,猛男也爱唱RAP | 艾福杰尼,75917
2020-04-15,1498030674,星野一,2,7520334743,短视频收藏过百万最热歌曲合集,150126479
2020-11-18,1242576048,　　　　　　　　　,0,7785460928,Hiphop ：想听听Rapstar的心声吗,175309
2017-11-26,3013409005,AHang,0,2391277948,「深度睡眠轻音乐」脑海中盛放的沉寂,10100145
2020-08-31,283319545,清言寡语 ¸,0,7242168276,热歌：何以解忧愁，唯有蹦迪摇头,14936005
2020-11-19,2490598732,望渔楼主（歌单狂妹）,0,7778278548,中文翻唱｜优秀与温柔共存,679613
2020-04-24,361077359,芒果先生,0,7535283994,短视频BGM：精彩片段，无缝衔接,1595644
2020-12-09,467638189,蜜糖男孩,2,7808373086,Pitchfork｜2020最佳专辑Top 50,40778
2020-08-11,1490864273,_尐～爺^,0,5863290029,[燃]感受音乐极限魅力,3092947
2020-06-13,1152921504980059803,L17C,0,7498059409,游戏BGM［建议搭配王者服用］,3399901
2020-08-26,2471800102,蝶栩,0,7692240932,【古韵古风】寻觅中国风,5814307
2020-04-27,565189195,نورالدين,0,7537552719,ANU：越民族，越新潮！,680501
2020-09-22,695636314,玄冬Bw,2,7723138577,国创之光！值得一看的国风动画,313134
2017-07-12,3387801282,后摇侦察兵,2,1469897849,「华语歌钢琴版 」古典与流行的完美邂逅,3522159
2020-09-11,3624609974,暖眸,0,7618560152,「VIP」绿钻专属欧美佳曲欣赏,3131871
2020-09-10,910801164,偏见.,0,7710032313,优质片段 | 入耳即沦陷的宝藏歌,2655157
2020-08-30,2895978176,我有佐助,0,7690336123,『丧系歌单』那缺席的安全感,395985
2016-10-20,945187827,念安娜,2,2931035154,华语｜给你一张过去的CD,91551262
2020-07-20,1006172694,羡之,0,7637214383,【90后回忆】歌词本里的青涩年华,10373583
2020-12-06,1306277207,枕,0,7685396575,“我爱你，可你却伤我入骨”,280131
2020-07-11,499891688,ˊᵒ̴̶̷̤,0,7613169172,英语Rap ｜ 跟着节奏落入Trap,222191
2020-04-22,1498030674,星野一,2,7532670538,一单打尽！Q音热搜榜歌曲持更集,42800781
2020-09-12,3255805880,辰兮 .,0,7687815897,片段 不确定的才会患得患失,19295779
2019-06-28,2827745225,智能算法大师,2,7060355343,轻音乐 | 唯美钢琴流行音乐,2694462
2020-11-17,1522531377,PC12138,0,7784481513,暴露年龄！学生时代MP3里听的歌,8858758
2020-12-08,3072237667,欧皇来了,0,7808176854,NME评：2020年最优秀的50首歌,296837
2020-09-19,1335031853,_,0,7720311890,温柔点吧，这个世界已经够浮躁了,1059077
2019-07-19,1728174826,水谷雫,0,6746013591,【养成之光】刘耀文唱跳歌单收录,382111
2020-12-08,2698225532,世间魁.,0,7807886978,直男斩！秋冬温柔女声推荐,473356
2020-08-26,746503843,♪森❀森♪,0,7691838312,耳机分你一个，想和你开启好心情,12526939
2020-05-08,3299472004,柏亦希,0,7522943324,『Rap』失意悲伤，颓废恋情,303582
2020-06-29,1152921504907337425,无限电LMH🌈,0,7283856320,沙雕丨那些搞笑视频里的bgm合集,459658
2020-05-29,2900403492,ONLY,0,7581343266,情窦初开 | 想要甜甜的恋爱,73867657
2020-08-19,2749983950,任凭寂寞沸腾,0,7683199209,伤感片段丨不过是南柯一梦,13664402
2018-09-14,3239619075,歌单狂魔,2,4580773716,站内弹幕9999+欧美歌曲,150014271
2020-11-29,1371887665,楠羽.,0,7798496732,想开一家早餐店，叫“早点见面”,340062
2017-07-26,352503481,老年人,0,1164657023,轻音乐，钢琴曲，纯音乐,41144855
2020-04-13,2696141375,随缘,0,7084698351,顶尖英文说唱 述说节奏魅力,495389
2020-08-16,3412606188,1.,0,7675764598,欧美流行｜快乐旋律让你沉沦其中,492908
2020-12-11,1152921504689404423,Jackey🤓（互关私）,0,7810389838,想快快长大，才能保护母亲,127937
2020-07-12,3250986093,】Alex【,0,1721400911,欧美梦幻之歌 | 治愈你的云端梦,36367
2018-10-27,1127914446,青梦,0,5375317625,「硬核战歌」无音乐不游戏,59633246
