,mid,name
0,003XbbyD06iu1p,杨紫
1,0022eAG537I1bg,肖战
2,004OG5IM1BYEI3,王一博
3,002osq514Gzksp,宋祖儿
4,002ZOuVm3Qn20Y,李宇春
5,003LCFXH0eodXv,那英
6,0045qReB43Pn2g,靳东
7,002raUWw3PXdkT,张韶涵
8,003NThQh3ujqIo,周华健
9,003l9amr2UcvXu,蒋一侨
10,0008LEQv1ODodY,魏允熙
11,002MfEld3FWp0R,张艺兴
12,003k3wLI2BbZaV,彭楚粤
13,000bllLT3CjCNN,白澍
14,001eHbHq3w27l4,陈泽希
15,001yrs9O1v4GhB,韩沐伯
16,001uSTdR2Rfr2Z,R1SE夏之光
17,0027AqC13pAlsU,X玖少年团
18,000lfI642zm5mA,为你读诗
19,004L98vi4PfVug,谢娜
20,003XXZcL1OS12F,鞠婧祎
21,004PLZM10aL7gW,杨迪
22,001JDzPT3JdvqK,王力宏
23,000bar4n4PyTts,田桐
24,000nmQ1v0JGExN,成龙
25,001ikADs0bdhPn,李光洁
26,003lLRuV2pqtct,伍嘉成
27,004H64zR2nkx91,谷嘉诚
28,004Zi1th1ukmJV,李谷一
29,003vyHwp0iVQZp,陈学冬
30,0020hNzE3kGP45,ILLENIUM
31,0039SliB42x1vT,Phoebe Ryan
32,001jgAtj3LtJnE,Avicii
33,003T09nh37Pq4N,Marshmello
34,001cH2lT4Uh8QS,Halsey
35,003AD17D4PYPFR,Vicetone
36,002dGVFv2akAnd,Cozi Zuehlsdorff
37,0020PeOh4ZaCw1,Alan Walker
38,003FxALO1Drz48,Iselin Solheim
39,000TML6w1zzf4b,Bastille
40,004ABIFV1EZUAj,The Chainsmokers
41,001MXQUi1tlLon,Coldplay
42,00435y620stkL6,Daisy Guttridge
43,003C8oeI1xJkqT,Eric Leva
44,0046fVNz3ruk2r,Selena Gomez
45,000SLnGA0hIvpl,Meron Ryan
46,004bkgRA2eGJyK,K-391
47,002cJiHj3lNhbp,Ahrix
48,004BEkqu2Oyx5R,Axero
49,004O5V402g4D5q,Mike Perry
50,0042js6X0AcObG,Shy Martin
51,002mVPbg4ZGtaP,A7i
52,000qR6nq0uziaw,Jonas Blue
53,0031HBDb3a7KPv,HRVY
54,002cJUME2GGBOT,Zedd
55,000G2ri03IjLwx,Jon Bellion
56,000H6B6R107Ngr,Kelsea Ballerini
57,002xao6L3n9l4w,Hardwell
58,004TfAHg2stYrs,Jason Derulo
59,001xUKwQ4B0bHt,Danny Avila
60,002g9SJC0pQTDn,Tim Legend
61,001CQI791EydMs,Transviolet
62,0033vR1Q24xr7w,Maren Morris
63,004Hx6ia3dgP2K,Grey
64,004RKkVx1tZcSC,Calvin Harris
65,002MiBdR19HQWx,Rihanna
66,004ZJgP047iJp2,Andreas Moe
67,000kycDh0kwcCy,West Coast Massive
68,001oCLxV1D5ArR,Carly Paige
69,002N406o1ABSTh,Dakota
70,003Ck1mm4Zj9oQ,The Vamps
71,001b86502oTUai,Sabrina Carpenter
72,001jxVVr2FXYtr,Daya
73,003xi10A1l7zjv,Asher Monroe
74,001SL8gI0bKC3a,KarlK
75,003T3TA62c51W0,GuitK
76,002C8BQQ1yYc2W,Liam Payne
77,002ykwdV2Swpub,Lennon Stella
78,0029cGzw2tZTrQ,Armin Van Buuren
79,003WmtTM2xHYAn,Brennan Heart
80,004dhpjT0n1NC6,Sam F
81,002m4Fv12TTVQS,Sophie Rose
82,003oADsR3TNXql,Lu2Vyk
83,0033YkId016rG4,Madison Gold
84,003gHa6S2vmcbq,Martin Garrix
85,001oNiEK0wYQqH,Khalid
86,001rc15h2NI9NU,LVNDSCAPE
87,002y4tSf3p73Kf,Cathrine Lassen
88,004569pS4AaBj8,CORSAK胡梦周
89,000oCQfT3kdonw,黄霄雲
90,003cWvwH1LNlbN,Kygo
91,004NX5fR1mjxX4,Billy Raffoul
92,0038K49c31ZLZE,L.B. One
93,002EhVLQ3EwU4u,Simon Erics
94,002ksKS82ZKBS2,Project 46
95,00365kvI2hSyBs,Felicity
96,003KukR30WOKQb,Steve Void
97,000HFOnC40zfJN,Stahl
98,001p7IJm1hv14W,Caroline
99,002h7GUY01YCG9,BEAUZ
100,004T1FZ647lbWd,JVNA
101,000qY5Qx3UnQtX,Lost Kings
102,000cHJXd1Z4xgU,Emily Warren
103,001bP7wz1lx5BN,Rony Rex
104,000lM1RP1RG8VN,LCMDF
105,000jUDI229bM5d,Henri PFR
106,001jqK5Q2nV7Y6,Susan H
107,0040Uc6C0tMeYd,REMIX
108,001GGXvO4LALbZ,Regard
109,0026mEMJ1LCsbT,TheFatRat
110,003l8tiY1To0yR,Tobu
111,003ocYuI1VfFVq,Lincoln Jesser
112,002o78xK2XL8p8,Gabrielle Current
113,002S0xrj2VU2uv,Tove Styrke
114,0036kS5G03FcGm,Tungevaag
115,000pOD5h39cSWa,Mangoo
116,001gnoTl2aWcaC,Pegato
117,002RXUq04F4DHF,Walk Off the Earth
118,0012ag6a3osrtO,Ryos
119,004QUrq437eB5y,Karra
120,002EtTKJ0hxVi8,D!avolo
121,0017NeRA3B4LkM,Colin & Caroline
122,000dpXXF1gmkcg,Seeb
123,000ebk6a31gt5I,Dagny
124,000HXWdH1gvJK3,KLYMVX
125,000iLjEm3vhNdG,Roxanne Emery
126,001IK5H92OAJT0,Gryffin
127,001WLAGA2LvPkG,ZOHARA
128,004RDo5N12lnGY,Vanze
129,003nStz70h208e,Neon Dreams
130,0023Hd4l06e6aY,Kayzo
131,004QrTwp28Bhry,Gammer
132,003uM3r908Z7Sf,AU8UST
133,004RElvO1AWwDU,N3wport
134,000bki404EyPxV,Dianna
135,000qykwF2sVJKy,Dj Khazik
136,000atP0E2AY6tB,KSHMR
137,001aYjZH1yOJEr,Crossnaders
138,0000dJO30qvUkJ,Micky Blue
139,003rqabF0k7Flg,Streex
140,004CHhWU1BoSbt,Ritual
141,002OYnpg0zBuwl,Olivia
142,002eQYH43hqf7c,IZ*ONE (아이즈원)
143,001Dmp9d0cxRfK,Xuitcasecity
144,000eLHI82In2q8,no sleep
145,00373DOs1phM9d,Laszlo
146,001s4Kq60D3O3P,Laura Brehm
147,000B32Gi2wEXWq,Lost Frequencies
148,001jcZZA3BJrlm,Love Harder
149,000G6rYL3njv14,Flynn
150,000ndQx82fsq8Z,Tez Cadey
151,000qrPik2w6lDr,Taylor Swift
152,002aFRpO1dMtfw,Clean Bandit
153,000629sv1kyRVp,Jasmine Thompson
154,002gNg8s308AMV,Arc North
155,0016crkm1MLAnD,Krista Marina
156,002hkau74SmJBr,Miguel
157,000x9W9d2ZZT90,Faustix
158,0003uoUi2UGKui,Alexander Oscar
159,004avRp34eEfdE,San Holo
160,0004LscG3FtUDz,OneRepublic
161,001FAb1d02xUcH,Drake
162,000CNXu71VVyXU,R3HAB
163,000f63Z63VhZVx,Koni
164,003DRVoA0MKTQc,Jeongwoo
165,001kjVNT29uzXJ,Lilianna Wilde
166,000UODLt29npTm,Elley Duhè
167,001sELzn07ImHm,Steve James
168,003AfNnM227dSG,Clairity
169,003kwgLJ3AQFzy,Flyboy
170,00256P0x1RFzu1,The Onyx Twins
171,000ypaa71DeYMu,Coby Grant
172,000Njzwq3WB7OV,Stories
173,001ELuCx1qIxEv,MitiS
174,000qABcs0D8RFj,Gioto
175,000talWb36EFfh,Mike Williams
176,0044fySN3DLrrr,Cedric Gervais
177,001z4wG52jMWRj,Digital Farm Animals
178,003KcZcz3YHFu2,Dallas Austin
